student_id,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,age_group,college_stage,gender,race_ethnicity,parent_four_year_college,college_goal,major_field,major_confidence,spring_credits,class_modality,paid_work_hours,life_direction_meaning_score,college_work_resilience_score,campus_seen_supported_score,emotionally_steady_score,hopeful_future_score,clear_values_score,life_depth_moments_score,cheerful_spirits_score,college_growth_score,academic_wellbeing_score,school_time_energy_score,faculty_staff_support_score,people_to_turn_to_score,know_support_resources_score,focus_place_score,enough_sleep_score,parent_caregiver_support_score,enjoyable_company_score,feels_alone_score,phone_social_media_interference_score,physical_activity_score,alcohol_cannabis_social_coping_score,money_stress_score,study_hours_outside_class_score,major_confidence_score,spring_credits_score,paid_work_hours_score,wellbeing_index,school_support_index
136,A,A,A,SA,A,SA,N,A,N,A,Family/care,N,N,A,N,A,A,NA,O,S,S,O,Nvr,None,5 to 10 hours,Enjoy life,26 or older,Prefer not,Woman,East Asian,Yes,Associate,Arts/creative,Unsure,9 to 11 credits,All/mostly in-person,0 hours,4,4,4,5,4,5,3,4,3,4,3,3,4,3,4,4,,3,2,2,3,0,0,2,3,3,0,4.12,3.5
137,A,SA,SD,A,SA,SA,A,SD,N,A,Family/care,SD,D,N,D,A,D,A,O,S,R,R,S,Mod,5 to 10 hours,Future,22 to 25,Third+,Man,Pacific Islander,No,Undecided,Arts/creative,Unsure,15 or more credits,Equal,30 or more hours,4,5,1,4,5,5,4,1,3,4,1,2,3,2,4,2,4,3,2,1,1,2,2,2,3,5,4,3.62,2.57
138,A,N,SA,N,A,A,A,N,A,A,Mental stress,N,SA,A,SA,A,SD,SA,O,S,S,O,S,Mod,5 to 10 hours,School,18 or 19,Second year,Woman,Latino/Hispanic,Yes,Transfer,Arts/creative,Very conf.,6 to 8 credits,All/mostly in-person,1 to 9 hours,4,3,5,3,4,4,4,3,4,4,3,5,4,5,4,1,5,3,2,2,3,2,2,2,5,2,1,3.75,3.86
139,A,D,A,D,N,SA,D,N,SA,A,Mental stress,N,SA,A,SA,SD,SD,N,VO,S,VO,S,VO,Ext,5 to 10 hours,School,20 or 21,Third+,Woman,East Asian,No,Associate,Social sciences,Unsure,12 to 14 credits,All/mostly online,1 to 9 hours,4,2,4,2,3,5,2,3,5,4,3,5,4,5,1,1,3,4,2,4,2,4,4,2,3,4,1,3.12,3.14
140,A,D,A,A,A,A,A,A,A,A,Work,A,A,A,A,A,A,A,R,R,R,R,Nvr,Very,20 or more hours,Future,18 or 19,Second year,Woman,South Asian,No,Transfer,STEM,Unsure,15 or more credits,More in-person,1 to 9 hours,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,0,3,4,3,5,1,3.75,4.0
141,A,SA,A,SA,N,A,A,A,A,SA,Family/care,A,A,A,A,A,D,SA,O,Nvr,R,S,Nvr,Slight,5 to 10 hours,Future,20 or 21,Second year,Woman,East Asian,No,Transfer,Business,Some conf.,9 to 11 credits,All/mostly in-person,0 hours,4,5,4,5,3,4,4,4,4,5,4,4,4,4,4,2,5,3,0,1,2,0,1,2,4,3,0,4.12,3.86
142,A,A,N,A,SA,A,SA,A,A,N,Work,D,A,A,N,A,SD,N,O,R,S,O,Nvr,Ext,5 to 10 hours,Money,20 or 21,Second year,Woman,East Asian,No,Transfer,Business,Unsure,15 or more credits,All/mostly in-person,20 to 29 hours,4,4,3,4,5,4,5,4,4,3,2,4,4,3,4,1,3,3,1,2,3,0,4,2,3,5,3,4.12,3.0
143,A,SA,A,D,A,A,A,D,D,D,Mental stress,A,A,A,A,A,A,SA,O,O,S,VO,VO,None,under 5 hours,Mental well-being,20 or 21,Third+,Man,MENA,No,Transfer,Business,Low conf.,12 to 14 credits,More online,30 or more hours,4,5,4,2,4,4,4,2,2,2,4,4,4,4,4,4,5,3,3,2,4,4,0,1,2,4,4,3.62,4.14
144,SA,SA,A,SA,SA,SA,SA,SA,A,SA,Teaching,A,A,A,A,A,A,SA,O,R,O,O,R,None,under 5 hours,School,22 to 25,Second year,Man,East Asian,No,Transfer,STEM,Some conf.,9 to 11 credits,All/mostly in-person,0 hours,5,5,4,5,5,5,5,5,4,5,4,4,4,4,4,4,5,3,1,3,3,1,0,1,4,3,0,4.88,4.14
145,A,A,A,A,A,A,A,A,A,SA,Motivation,A,A,SA,A,SA,D,SA,VO,Nvr,VO,S,Nvr,None,11 to 19 hours,School,18 or 19,First year,Woman,East Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,Equal,1 to 9 hours,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,2,5,4,0,4,2,0,0,3,4,5,1,4.0,4.14
146,A,A,N,A,A,A,A,N,N,N,Not prepared,D,A,A,N,A,SD,N,S,S,VO,VO,S,Very,20 or more hours,Money,20 or 21,Second year,Man,East Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,More in-person,20 to 29 hours,4,4,3,4,4,4,4,3,3,3,2,4,4,3,4,1,3,2,2,4,4,2,3,4,4,5,3,3.75,3.0
147,A,N,A,A,N,A,A,D,A,A,Mental stress,A,SA,SA,A,A,D,NA,VO,S,O,O,Nvr,Mod,11 to 19 hours,School,18 or 19,Second year,Woman,South Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,Equal,20 to 29 hours,4,3,4,4,3,4,4,2,4,4,4,5,5,4,4,2,,4,2,3,3,0,2,3,4,5,3,3.5,4.0
148,N,A,A,N,A,A,A,D,A,SA,Mental stress,A,A,A,A,A,A,A,VO,S,S,S,R,Slight,11 to 19 hours,Future,18 or 19,Second year,Woman,MENA,Yes,Transfer,Social sciences,Low conf.,15 or more credits,More in-person,10 to 19 hours,3,4,4,3,4,4,4,2,4,5,4,4,4,4,4,4,4,4,2,2,2,1,1,3,2,5,2,3.5,4.0
149,D,A,N,A,SA,A,N,A,A,A,Motivation,A,N,SA,N,A,N,SA,O,R,O,O,R,Slight,5 to 10 hours,Enjoy life,20 or 21,Second year,Woman,Multiracial,Yes,Transfer,Social sciences,Very conf.,9 to 11 credits,More in-person,10 to 19 hours,2,4,3,4,5,4,3,4,4,4,4,3,5,3,4,3,5,3,1,3,3,1,1,2,5,3,2,3.62,3.86
150,A,A,N,A,A,A,N,N,A,A,Mental stress,A,A,SA,SD,A,N,SA,VO,R,VO,R,Nvr,None,5 to 10 hours,School,20 or 21,Second year,Woman,White,Yes,Associate,Business,Very conf.,15 or more credits,More online,0 hours,4,4,3,4,4,4,3,3,4,4,4,4,5,1,4,3,5,4,1,4,1,0,0,2,5,5,0,3.62,3.71
151,A,A,SA,SA,A,A,SA,N,A,N,Mental stress,A,A,SA,A,A,A,SA,VO,R,S,VO,Nvr,Mod,11 to 19 hours,Enjoy life,20 or 21,Second year,Man,South Asian,Yes,Transfer,Arts/creative,Some conf.,6 to 8 credits,Equal,0 hours,4,4,5,5,4,4,5,3,4,3,4,4,5,4,4,4,5,4,1,2,4,0,2,3,4,2,0,4.25,4.29
152,A,N,A,D,N,N,N,N,A,A,Teaching,N,A,A,A,A,D,A,S,O,S,S,O,Very,under 5 hours,Mental well-being,22 to 25,Prefer not,Woman,Multiracial,Yes,Certificate,Humanities,Some conf.,1 to 5 credits,All/mostly in-person,10 to 19 hours,4,3,4,2,3,3,3,3,4,4,3,4,4,4,4,2,4,2,3,2,2,3,3,1,4,1,2,3.12,3.57
153,N,N,N,N,N,N,A,N,A,D,Other,N,N,N,D,N,D,N,VO,O,S,O,O,Slight,11 to 19 hours,Friends/relations,18 or 19,Second year,Man,East Asian,No,Transfer,Health professions,Some conf.,12 to 14 credits,More in-person,30 or more hours,3,3,3,3,3,3,4,3,4,2,3,3,3,2,3,2,3,4,3,2,3,3,1,3,4,4,4,3.12,2.71
154,A,A,SA,SA,A,A,SA,A,SA,SA,Motivation,SA,SA,SA,N,SA,A,SA,S,S,VO,VO,R,Slight,5 to 10 hours,Future,20 or 21,Second year,Woman,East Asian,Yes,Transfer,Business,Some conf.,15 or more credits,All/mostly in-person,20 to 29 hours,4,4,5,5,4,4,5,4,5,5,5,5,5,3,5,4,5,2,2,4,4,1,1,2,4,5,3,4.38,4.57
155,A,A,N,A,A,A,SA,N,A,A,Motivation,A,SA,D,A,A,SA,SA,R,S,O,VO,Nvr,Mod,11 to 19 hours,School,18 or 19,Second year,Man,Latino/Hispanic,No,Transfer,STEM,Very conf.,12 to 14 credits,All/mostly in-person,0 hours,4,4,3,4,4,4,5,3,4,4,4,5,2,4,4,5,5,1,2,3,4,0,2,3,5,4,0,3.88,4.14
156,A,A,N,N,N,A,SA,A,A,A,Motivation,D,N,N,N,A,D,D,S,R,Nvr,O,Nvr,Ext,under 5 hours,Money,22 to 25,Third+,Man,South Asian,No,Associate,STEM,Some conf.,9 to 11 credits,More in-person,1 to 9 hours,4,4,3,3,3,4,5,4,4,4,2,3,3,3,4,2,2,2,1,0,3,0,4,1,4,3,1,3.75,2.71
157,D,D,N,N,D,N,N,N,D,D,Motivation,D,D,D,A,A,D,N,R,VO,S,S,Nvr,Slight,under 5 hours,Mental well-being,20 or 21,First year,Prefer not,Multiracial,Yes,Undecided,Humanities,Unsure,9 to 11 credits,All/mostly online,0 hours,2,2,3,3,2,3,3,3,2,2,2,2,2,4,4,2,3,1,4,2,2,0,1,1,3,3,0,2.62,2.71
158,A,A,N,A,A,A,A,A,N,A,Motivation,A,N,SA,D,SA,D,SA,O,R,VO,S,Nvr,None,11 to 19 hours,Enjoy life,20 or 21,Second year,Man,East Asian,Yes,Transfer,STEM,Unsure,12 to 14 credits,More in-person,0 hours,4,4,3,4,4,4,4,4,3,4,4,3,5,2,5,2,5,3,1,4,2,0,0,3,3,4,0,3.88,3.71
159,N,A,N,N,N,N,N,N,N,N,Motivation,N,N,A,N,A,D,N,O,S,S,S,S,Very,5 to 10 hours,Friends/relations,18 or 19,Second year,Man,East Asian,Yes,Transfer,STEM,Some conf.,12 to 14 credits,All/mostly in-person,20 to 29 hours,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,2,3,3,2,2,2,2,3,2,4,4,3,3.12,3.14
160,D,N,N,N,D,N,A,N,N,A,Motivation,A,N,A,A,A,D,SA,S,S,O,R,O,Mod,under 5 hours,Enjoy life,22 to 25,Third+,Man,Multiracial,Yes,Associate,Undecided,Not conf.,6 to 8 credits,Equal,0 hours,2,3,3,3,2,3,4,3,3,4,4,3,4,4,4,2,5,2,2,3,1,3,2,1,1,2,0,2.88,3.71
161,SA,A,D,SA,SA,SA,A,A,D,N,Work,N,SD,SA,D,A,A,SA,O,R,S,VO,R,Ext,under 5 hours,Money,20 or 21,Third+,Man,Latino/Hispanic,Yes,Transfer,Business,Very conf.,15 or more credits,Equal,30 or more hours,5,4,2,5,5,5,4,4,2,3,3,1,5,2,4,4,5,3,1,2,4,1,4,1,5,5,4,4.25,3.43
162,N,D,N,D,N,A,A,D,D,D,Motivation,SD,D,A,N,N,SD,A,S,VO,VO,S,O,Ext,5 to 10 hours,Money,20 or 21,Third+,Woman,Prefer not,No,Associate,Career/tech,Very conf.,9 to 11 credits,All/mostly in-person,20 to 29 hours,3,2,3,2,3,4,4,2,2,2,1,2,4,3,3,1,4,2,4,4,2,3,4,2,5,3,3,2.88,2.57
163,A,A,A,A,A,A,N,A,A,A,Work,D,A,A,A,A,SD,D,S,O,S,O,Nvr,Ext,5 to 10 hours,Money,22 to 25,Second year,Woman,White,No,Transfer,Career/tech,Very conf.,12 to 14 credits,More in-person,20 to 29 hours,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,1,2,2,3,2,3,0,4,2,5,4,3,3.88,3.0
164,A,A,N,A,A,A,A,A,A,A,Motivation,A,A,D,A,SA,D,A,S,O,S,VO,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Woman,East Asian,No,Associate,Health professions,Unsure,12 to 14 credits,More in-person,1 to 9 hours,4,4,3,4,4,4,4,4,4,4,4,4,2,4,5,2,4,2,3,2,4,0,2,2,3,4,1,3.88,3.57
165,A,A,A,A,A,A,A,A,A,A,Mental stress,A,A,SA,A,A,N,SA,VO,R,VO,O,S,Mod,5 to 10 hours,Enjoy life,22 to 25,Third+,Man,East Asian,Yes,Transfer,STEM,Some conf.,12 to 14 credits,All/mostly in-person,10 to 19 hours,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,5,4,1,4,3,2,2,2,4,4,2,4.0,4.14
166,A,A,A,A,A,A,SA,A,SA,N,Teaching,A,A,SA,N,A,N,NA,O,R,S,VO,Nvr,Slight,under 5 hours,Future,18 or 19,First year,Man,Latino/Hispanic,No,Transfer,Health professions,Unsure,15 or more credits,All/mostly in-person,0 hours,4,4,4,4,4,4,5,4,5,3,4,4,5,3,4,3,,3,1,2,4,0,1,1,3,5,0,4.12,3.83
167,A,A,N,A,SA,SA,SA,D,D,SA,Motivation,A,SA,SA,N,D,A,A,VO,S,O,O,Nvr,Ext,5 to 10 hours,School,20 or 21,Second year,Woman,MENA,No,Transfer,STEM,Some conf.,12 to 14 credits,More online,10 to 19 hours,4,4,3,4,5,5,5,2,2,5,4,5,5,3,2,4,4,4,2,3,3,0,4,2,4,4,2,4.0,3.86
168,SA,SA,A,SA,SA,SA,A,A,SA,SA,Work,A,SA,N,A,SA,D,SD,VO,R,R,O,R,Slight,11 to 19 hours,Enjoy life,20 or 21,Third+,Man,East Asian,Yes,Transfer,STEM,Very conf.,15 or more credits,All/mostly in-person,20 to 29 hours,5,5,4,5,5,5,4,4,5,5,4,5,3,4,5,2,1,4,1,1,3,1,1,3,5,5,3,4.62,3.43
169,A,A,SA,A,SA,A,A,N,SA,SA,Nothing,SA,A,SA,A,SA,A,A,O,R,S,O,Nvr,Slight,5 to 10 hours,Future,26 or older,First year,Woman,Latino/Hispanic,Not sure,Associate,Arts/creative,Some conf.,12 to 14 credits,More in-person,0 hours,4,4,5,4,5,4,4,3,5,5,5,4,5,4,5,4,4,3,1,2,3,0,1,2,4,4,0,4.12,4.43
170,A,A,D,D,D,A,A,SD,A,A,Family/care,A,D,A,D,A,A,SD,S,VO,R,S,R,Ext,5 to 10 hours,Enjoy life,26 or older,Third+,Woman,Prefer not,Yes,Transfer,Social sciences,Very conf.,6 to 8 credits,More in-person,0 hours,4,4,2,2,2,4,4,1,4,4,4,2,4,2,4,4,1,2,4,1,2,1,4,2,5,2,0,2.88,3.0
171,A,SA,A,N,SA,SA,SA,SA,SA,SA,Work,SA,A,SA,SA,A,SD,SA,VO,Nvr,R,S,R,None,5 to 10 hours,School,22 to 25,Third+,Man,Native/Indigenous,Yes,Associate,Arts/creative,Not conf.,9 to 11 credits,More in-person,20 to 29 hours,4,5,4,3,5,5,5,5,5,5,5,4,5,5,4,1,5,4,0,1,2,1,0,2,1,3,3,4.5,4.14
172,N,N,N,N,N,A,A,N,N,N,Mental stress,SD,N,D,N,A,D,N,R,R,S,S,Nvr,None,20 or more hours,Money,20 or 21,Third+,Man,Latino/Hispanic,No,Transfer,STEM,Unsure,12 to 14 credits,More online,0 hours,3,3,3,3,3,4,4,3,3,3,1,3,2,3,4,2,3,1,1,2,2,0,0,4,3,4,0,3.25,2.57
173,A,SA,N,SA,SA,SA,SA,A,N,SA,Nothing,A,A,SA,N,SA,SA,NA,O,Nvr,Nvr,O,Nvr,None,20 or more hours,Mental well-being,20 or 21,Third+,Man,MENA,Yes,Transfer,STEM,Very conf.,15 or more credits,Equal,0 hours,4,5,3,5,5,5,5,4,3,5,4,4,5,3,5,5,,3,0,0,3,0,0,4,5,5,0,4.5,4.33
174,N,A,A,N,A,A,N,N,A,D,Motivation,A,N,SA,D,SD,N,A,VO,R,VO,R,Nvr,Very,5 to 10 hours,School,20 or 21,Second year,Woman,Latino/Hispanic,Not sure,Transfer,Health professions,Very conf.,15 or more credits,All/mostly in-person,0 hours,3,4,4,3,4,4,3,3,4,2,4,3,5,2,1,3,4,4,1,4,1,0,3,2,5,5,0,3.5,3.14
175,A,A,SA,A,SA,SA,A,SA,SA,A,Nothing,A,A,N,A,A,D,SA,S,VO,O,S,Nvr,Prefer not,20 or more hours,School,22 to 25,Second year,Woman,Prefer not,No,Transfer,Prefer not,Very conf.,15 or more credits,More in-person,0 hours,4,4,5,4,5,5,4,5,5,4,4,4,3,4,4,2,5,2,4,3,2,0,,4,5,5,0,4.5,3.71
176,SA,SA,SA,A,SA,SA,SA,A,SA,SA,Motivation,A,N,SA,N,SA,SD,SD,VO,S,VO,VO,O,Ext,5 to 10 hours,Money,18 or 19,First year,Man,White,No,Transfer,Social sciences,Very conf.,15 or more credits,Equal,30 or more hours,5,5,5,4,5,5,5,4,5,5,4,3,5,3,5,1,1,4,2,4,4,3,4,2,5,5,4,4.75,3.14
177,A,N,SA,A,SA,SA,SA,A,SA,SA,Motivation,N,SA,SA,A,A,SD,A,O,S,VO,R,S,Ext,under 5 hours,Money,20 or 21,Second year,Woman,Latino/Hispanic,No,Transfer,Undecided,Unsure,15 or more credits,All/mostly in-person,0 hours,4,3,5,4,5,5,5,4,5,5,3,5,5,4,4,1,4,3,2,4,1,2,4,1,3,5,0,4.38,3.71
178,A,A,N,A,A,A,A,N,A,A,Mental stress,D,A,A,A,N,A,A,S,S,S,R,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Woman,MENA,No,Transfer,Health professions,Very conf.,12 to 14 credits,More online,1 to 9 hours,4,4,3,4,4,4,4,3,4,4,2,4,4,4,3,4,4,2,2,2,1,0,2,2,5,4,1,3.75,3.57
179,A,A,A,A,D,A,A,A,A,A,Not prepared,A,D,A,N,A,D,SA,VO,S,S,S,R,Ext,11 to 19 hours,School,20 or 21,Third+,Woman,White,No,Associate,Health professions,Very conf.,6 to 8 credits,Equal,20 to 29 hours,4,4,4,4,2,4,4,4,4,4,4,2,4,3,4,2,5,4,2,2,2,1,4,3,5,2,3,3.75,3.43
180,SA,A,N,A,A,A,A,A,A,A,Motivation,N,A,A,A,A,D,SA,O,S,O,R,R,Slight,5 to 10 hours,School,18 or 19,First year,Woman,White,Not sure,Associate,Business,Some conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,5,4,3,4,4,4,4,4,4,4,3,4,4,4,4,2,5,3,2,3,1,1,1,2,4,4,1,4.0,3.71
181,A,A,A,D,A,A,SA,N,A,A,Motivation,A,A,A,A,SA,A,A,O,R,S,O,Nvr,Mod,11 to 19 hours,Future,18 or 19,Second year,Man,Latino/Hispanic,No,Transfer,STEM,Very conf.,12 to 14 credits,All/mostly in-person,0 hours,4,4,4,2,4,4,5,3,4,4,4,4,4,4,5,4,4,3,1,2,3,0,2,3,5,4,0,3.75,4.14
182,N,N,A,N,D,D,SD,D,N,N,Mental stress,N,N,A,N,A,N,SA,S,S,S,S,Nvr,Ext,under 5 hours,Money,20 or 21,First year,Woman,Latino/Hispanic,No,Undecided,STEM,Not conf.,1 to 5 credits,All/mostly in-person,0 hours,3,3,4,3,2,2,1,2,3,3,3,3,4,3,4,3,5,2,2,2,2,0,4,1,1,1,0,2.5,3.57
183,SA,A,A,A,A,A,SA,SA,SA,N,Motivation,A,A,A,A,A,A,SA,VO,S,R,VO,Nvr,Very,5 to 10 hours,Money,,First year,Woman,Latino/Hispanic,No,Transfer,Health professions,Very conf.,9 to 11 credits,All/mostly in-person,1 to 9 hours,5,4,4,4,4,4,5,5,5,3,4,4,4,4,4,4,5,4,2,1,4,0,3,2,5,3,1,4.38,4.14
184,A,A,A,A,A,A,A,A,A,A,Mental stress,A,A,A,A,A,N,A,O,S,S,R,Nvr,Slight,5 to 10 hours,School,20 or 21,Third+,Woman,Latino/Hispanic,No,Transfer,Social sciences,Very conf.,6 to 8 credits,Equal,10 to 19 hours,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,2,1,0,1,2,5,2,2,4.0,3.86
185,N,A,N,D,N,D,A,N,SA,A,Mental stress,N,N,A,A,A,D,A,S,S,O,R,Nvr,Slight,under 5 hours,Future,18 or 19,First year,Woman,MENA,Yes,Transfer,Social sciences,Unsure,12 to 14 credits,All/mostly in-person,0 hours,3,4,3,2,3,2,4,3,5,4,3,3,4,4,4,2,4,2,2,3,1,0,1,1,3,4,0,3.0,3.43
186,A,N,A,D,D,SA,N,SD,A,A,Motivation,A,SA,A,A,D,D,A,S,VO,S,S,Nvr,Ext,5 to 10 hours,Friends/relations,18 or 19,First year,Other,White,Yes,Transfer,STEM,Very conf.,15 or more credits,All/mostly in-person,1 to 9 hours,4,3,4,2,2,5,3,1,4,4,4,5,4,4,2,2,4,2,4,2,2,0,4,2,5,5,1,3.0,3.57
187,D,A,N,SA,N,A,A,SA,D,N,Motivation,SA,N,SA,SA,SA,SA,NA,R,O,R,S,Nvr,Mod,under 5 hours,Future,20 or 21,Prefer not,Man,Multiracial,No,Transfer,Business,Not conf.,12 to 14 credits,All/mostly in-person,0 hours,2,4,3,5,3,4,4,5,2,3,5,3,5,5,5,5,,1,3,1,2,0,2,1,1,4,0,3.75,4.67
188,A,D,A,N,N,A,A,N,A,A,Teaching,N,SA,N,A,A,D,N,S,S,VO,R,S,None,11 to 19 hours,School,18 or 19,Second year,Man,East Asian,No,Associate,Health professions,Unsure,12 to 14 credits,More in-person,0 hours,4,2,4,3,3,4,4,3,4,4,3,5,3,4,4,2,3,2,2,4,1,2,0,3,3,4,0,3.38,3.43
189,SA,SA,A,SA,SA,A,SA,SA,SA,SA,Nothing,SA,SA,SA,SA,SA,N,SA,VO,S,O,O,Nvr,Very,20 or more hours,Future,22 to 25,Third+,Woman,East Asian,Yes,Transfer,Health professions,Very conf.,12 to 14 credits,All/mostly in-person,20 to 29 hours,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,3,5,4,2,3,3,0,3,4,5,4,3,4.75,4.71
190,SA,SA,SA,A,A,SA,,SA,SA,SA,Work,SA,SA,SA,SA,SA,SA,A,VO,Nvr,S,VO,Nvr,Slight,under 5 hours,School,18 or 19,Second year,Woman,Latino/Hispanic,No,Transfer,Social sciences,Very conf.,12 to 14 credits,More in-person,20 to 29 hours,5,5,5,4,4,5,,5,5,5,5,5,5,5,5,5,4,4,0,2,4,0,1,1,5,4,3,4.71,4.86
191,A,N,A,SD,N,N,A,D,A,N,Mental stress,SD,SA,N,A,N,SD,SD,S,VO,S,O,S,Ext,11 to 19 hours,Family,26 or older,Third+,Nonbinary,Multiracial,No,Certificate,Humanities,Some conf.,9 to 11 credits,All/mostly in-person,0 hours,4,3,4,1,3,3,4,2,4,3,1,5,3,4,3,1,1,2,4,2,3,2,4,3,4,3,0,3.0,2.57
192,A,A,A,N,A,A,N,N,SA,SA,Mental stress,N,SA,A,A,N,N,A,VO,S,O,VO,Nvr,None,5 to 10 hours,Future,18 or 19,Second year,Woman,Latino/Hispanic,No,Transfer,Social sciences,Some conf.,12 to 14 credits,All/mostly in-person,0 hours,4,4,4,3,4,4,3,3,5,5,3,5,4,4,3,3,4,4,2,3,4,0,0,2,4,4,0,3.62,3.71
193,N,A,N,N,A,D,SA,A,A,D,Other,N,N,SA,SA,A,D,D,VO,S,VO,R,Nvr,Ext,11 to 19 hours,Future,20 or 21,Second year,Prefer not,Latino/Hispanic,No,Transfer,Arts/creative,Very conf.,12 to 14 credits,More online,10 to 19 hours,3,4,3,3,4,2,5,4,4,2,3,3,5,5,4,2,2,4,2,4,1,0,4,3,5,4,2,3.5,3.43
194,N,A,A,A,A,A,SA,A,N,A,Motivation,A,SA,SA,A,A,D,SA,O,R,O,O,Nvr,Slight,5 to 10 hours,Enjoy life,20 or 21,Third+,Man,Multiracial,Yes,Associate,Undecided,No major,12 to 14 credits,Equal,1 to 9 hours,3,4,4,4,4,4,5,4,3,4,4,5,5,4,4,2,5,3,1,3,3,0,1,2,,4,1,4.0,4.14
195,N,A,SA,A,D,SD,A,A,N,D,Motivation,N,A,SA,SA,A,A,N,O,O,VO,S,Nvr,Slight,under 5 hours,School,22 to 25,Third+,Woman,White,Yes,Transfer,Arts/creative,Some conf.,9 to 11 credits,All/mostly in-person,0 hours,3,4,5,4,2,1,4,4,3,2,3,4,5,5,4,4,3,3,3,4,2,0,1,1,4,3,0,3.38,4.0
196,A,N,A,A,A,A,A,A,A,A,Not prepared,A,SA,D,D,A,D,D,S,O,VO,R,Nvr,Mod,11 to 19 hours,Money,20 or 21,Second year,Woman,East Asian,No,Transfer,Social sciences,Some conf.,12 to 14 credits,Equal,30 or more hours,4,3,4,4,4,4,4,4,4,4,4,5,2,2,4,2,2,2,3,4,1,0,2,3,4,4,4,3.88,3.0
197,A,A,A,A,N,A,A,D,A,A,Motivation,N,A,SA,A,SA,A,A,O,R,VO,S,Nvr,Slight,5 to 10 hours,School,18 or 19,First year,Woman,Latino/Hispanic,Yes,Transfer,STEM,Some conf.,9 to 11 credits,All/mostly in-person,10 to 19 hours,4,4,4,4,3,4,4,2,4,4,3,4,5,4,5,4,4,3,1,4,2,0,1,2,4,3,2,3.62,4.14
198,SA,A,A,SA,SA,SA,A,A,A,A,Motivation,A,SA,SA,A,A,D,SA,O,R,O,O,R,Mod,5 to 10 hours,Other,20 or 21,Third+,Man,Multiracial,Yes,Transfer,Business,Some conf.,15 or more credits,More in-person,1 to 9 hours,5,4,4,5,5,5,4,4,4,4,4,5,5,4,4,2,5,3,1,3,3,1,2,2,4,5,1,4.5,4.14
199,N,D,A,D,N,D,A,N,N,N,Mental stress,N,A,A,A,A,N,A,S,VO,R,S,Nvr,None,5 to 10 hours,Money,22 to 25,Third+,Woman,East Asian,Not sure,Transfer,Social sciences,Some conf.,12 to 14 credits,More in-person,0 hours,3,2,4,2,3,2,4,3,3,3,3,4,4,4,4,3,4,2,4,1,2,0,0,2,4,4,0,2.88,3.71
200,A,SA,A,A,N,A,SA,A,A,N,Family/care,A,SA,SA,A,SA,A,A,VO,S,VO,R,Nvr,Mod,5 to 10 hours,Mental well-being,18 or 19,First year,Woman,MENA,Yes,Transfer,Business,Some conf.,9 to 11 credits,All/mostly in-person,0 hours,4,5,4,4,3,4,5,4,4,3,4,5,5,4,5,4,4,4,2,4,1,0,2,2,4,3,0,4.12,4.43
201,N,SA,A,N,SA,SA,SA,A,SA,SA,Nothing,SA,A,SA,A,SA,SA,NA,VO,S,Nvr,O,Nvr,Ext,11 to 19 hours,Future,26 or older,Third+,Woman,Black/African Am.,No,Transfer,Health professions,Very conf.,15 or more credits,Equal,0 hours,3,5,4,3,5,5,5,4,5,5,5,4,5,4,5,5,,4,2,0,3,0,4,3,5,5,0,4.25,4.67
202,A,A,D,A,A,A,A,D,A,A,Mental stress,A,N,D,N,A,SD,D,R,S,S,VO,O,None,5 to 10 hours,School,26 or older,Third+,Man,South Asian,Yes,Associate,STEM,Very conf.,9 to 11 credits,More in-person,0 hours,4,4,2,4,4,4,4,2,4,4,4,3,2,3,4,1,2,1,2,2,4,3,0,2,5,3,0,3.5,2.71
203,A,A,A,A,A,SA,SA,A,SA,N,Motivation,A,A,A,A,A,A,A,S,R,S,O,S,Mod,5 to 10 hours,Money,18 or 19,First year,Man,East Asian,Yes,Associate,Business,Unsure,12 to 14 credits,Equal,10 to 19 hours,4,4,4,4,4,5,5,4,5,3,4,4,4,4,4,4,4,2,1,2,3,2,2,2,3,4,2,4.25,4.0
