student_id,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,biggest_challenge_other_text,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,life_priority_other_text,age_group,college_stage,gender,gender_other_text,race_ethnicity,race_ethnicity_other_text,parent_four_year_college,college_goal,college_goal_other_text,major_field,major_field_other_text,major_confidence,spring_credits,class_modality,paid_work_hours,life_direction_meaning_score,college_work_resilience_score,campus_seen_supported_score,emotionally_steady_score,hopeful_future_score,clear_values_score,life_depth_moments_score,cheerful_spirits_score,college_growth_score,academic_wellbeing_score,school_time_energy_score,faculty_staff_support_score,people_to_turn_to_score,know_support_resources_score,focus_place_score,enough_sleep_score,parent_caregiver_support_score,enjoyable_company_score,feels_alone_score,phone_social_media_interference_score,physical_activity_score,alcohol_cannabis_social_coping_score,money_stress_score,study_hours_outside_class_score,major_confidence_score,spring_credits_score,paid_work_hours_score,wellbeing_index,school_support_index
93,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Motivation/discipline,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Sometimes,Often,Very often,Sometimes,Never,Extreme,5-10 hours,Mental/emotional well-being,,26 or older,Second year,Man,,Southeast Asian,,No,Transfer,,Social sciences,,Somewhat confident,9-11 credits,All/mostly in-person,10-19 hours,5,5,5,4,5,4,4,3,5,5,4,5,5,5,5,2,5,2,3,4,2,0,4,2,4,3,2,4.5,4.43
94,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Motivation/discipline,,Disagree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Often,Sometimes,Very often,Often,Never,Slight,<5 hours,Doing well in school,,18-19,First year,Man,,Multiracial,,Yes,Transfer,,Social sciences,,Not very confident,15+ credits,More in-person,0 hours,2,3,5,2,3,4,4,2,4,2,2,5,4,2,3,2,4,3,2,4,3,0,1,1,2,5,0,3.1,3.14
95,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Mental health/emotional stress,,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Often,Very often,Very often,Rarely,Sometimes,Slight,5-10 hours,Figuring out my future,,18-19,First year,Woman,,Southeast Asian,,Yes,Undecided,,Health professions,,Not very confident,6-8 credits,About equal,20-29 hours,1,1,1,2,1,1,4,2,2,1,3,1,4,1,4,1,4,3,4,4,1,2,1,2,2,2,3,1.6,2.57
96,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Motivation/discipline,,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Very often,Sometimes,Often,Sometimes,Often,Not at all,5-10 hours,Enjoying life,,22-25,Third year or beyond,Woman,,White,,Not sure,Transfer,,Arts/creative fields,,Unsure,6-8 credits,All/mostly online,0 hours,4,4,5,4,5,4,5,4,5,3,3,5,4,5,4,4,5,4,2,3,2,3,0,2,3,2,0,4.3,4.29
97,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Motivation/discipline,,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Sometimes,Often,Sometimes,Rarely,Never,Slight,5-10 hours,Doing well in school,,18-19,First year,Woman,,South Asian,,Yes,Transfer,,Health professions,,Somewhat confident,15+ credits,More in-person,1-9 hours,2,3,4,2,2,3,4,3,4,2,3,4,4,4,4,2,4,2,3,2,1,0,1,2,4,5,1,2.9,3.57
98,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Mental health/emotional stress,,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Often,Sometimes,Sometimes,Rarely,Rarely,Moderate,<5 hours,Mental/emotional well-being,,20-21,Third year or beyond,Woman,,East Asian,,No,Transfer,,Business,,Somewhat confident,9-11 credits,All/mostly online,10-19 hours,2,3,4,3,3,4,4,3,4,3,3,4,4,5,4,3,5,3,2,2,1,1,2,1,4,3,2,3.3,4.0
99,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Motivation/discipline,,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Often,Rarely,Moderate,5-10 hours,Figuring out my future,,18-19,First year,Man,,East Asian,,Yes,Transfer,,Business,,Somewhat confident,15+ credits,More in-person,10-19 hours,2,4,2,4,3,5,3,3,3,4,5,2,5,2,1,4,3,2,2,2,3,1,2,2,4,5,2,3.3,3.14
100,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Mental health/emotional stress,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Very often,Rarely,Sometimes,Sometimes,Never,Slight,5-10 hours,Doing well in school,,20-21,Third year or beyond,Woman,,Latino/Hispanic,,No,Associate degree,,STEM,,Very confident,12-14 credits,All/mostly in-person,10-19 hours,5,4,4,4,5,5,4,4,5,5,4,3,4,3,4,3,2,4,1,2,2,0,1,2,5,4,2,4.5,3.29
101,Agree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Not prepared for college-level work,,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Often,Rarely,Often,Rarely,Never,Slight,<5 hours,Other,"Family responsibilities, doing well in school, and fnancial stability",20-21,Third year or beyond,Man,,Middle Eastern/North African,,No,Transfer,,STEM,,Somewhat confident,9-11 credits,All/mostly in-person,20-29 hours,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,3,1,3,1,0,1,1,4,3,3,3.7,3.71
102,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Mental health/emotional stress,,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Often,Sometimes,Sometimes,Often,Never,Very,20+ hours,Financial stability,,18-19,Second year,Man,,East Asian,,Yes,Transfer,,STEM,,Unsure,15+ credits,About equal,0 hours,4,4,5,3,3,4,4,2,4,4,4,3,3,2,5,5,5,3,2,2,3,0,3,4,3,5,0,3.7,3.86
103,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Motivation/discipline,,Agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Very often,Rarely,Very often,Often,Never,Moderate,<5 hours,Friendships or relationships,,20-21,Third year or beyond,Man,,Latino/Hispanic,,No,Transfer,,STEM,,Very confident,12-14 credits,More in-person,10-19 hours,5,3,5,4,5,5,5,5,5,4,4,4,5,5,4,3,5,4,1,4,3,0,2,1,5,4,2,4.6,4.29
104,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Motivation/discipline,,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Often,Rarely,Sometimes,Often,Never,Slight,5-10 hours,Friendships or relationships,,20-21,Second year,Woman,,East Asian,,Yes,Transfer,,STEM,,Somewhat confident,15+ credits,All/mostly in-person,1-9 hours,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,5,3,1,2,3,0,1,2,4,5,1,3.9,4.0
105,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Physical health/low energy,,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Rarely,Often,Never,Often,Prefer not to say,Very,5-10 hours,Other,Trying to capitalize off a war fought on my dime against my wishes,26 or older,Third year or beyond,Man,,White,,Yes,Undecided,,Undecided,,Unsure,6-8 credits,All/mostly in-person,30+ hours,3,3,4,3,3,4,3,2,4,3,4,4,3,3,4,2,4,1,3,0,3,,3,2,3,2,4,3.2,3.43
106,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Family/caregiving responsibilities,,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Never,Slight,11-19 hours,Family responsibilities,,26 or older,First year,Woman,,East Asian,,No,Associate degree,,Health professions,,Somewhat confident,9-11 credits,All/mostly in-person,0 hours,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,3,4,2,2,2,2,0,1,3,4,3,0,3.7,3.71
107,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Physical health/low energy,,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Often,Rarely,Rarely,Often,Rarely,Prefer not to say,5-10 hours,Mental/emotional well-being,,20-21,First year,Woman,,White,,Yes,Transfer,,STEM,,Somewhat confident,12-14 credits,All/mostly in-person,0 hours,4,4,5,4,4,4,4,3,5,4,4,4,5,5,5,4,5,3,1,1,3,1,,2,4,4,0,4.1,4.57
108,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Physical health/low energy,,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Often,Rarely,Rarely,Sometimes,Never,Moderate,11-19 hours,Financial stability,,18-19,First year,Woman,,Southeast Asian,,No,Transfer,,Social sciences,,Very confident,15+ credits,About equal,10-19 hours,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,3,3,3,1,1,2,0,2,3,5,5,2,3.8,3.43
109,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Mental health/emotional stress,,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Sometimes,Sometimes,Often,Rarely,Never,Prefer not to say,5-10 hours,Doing well in school,,20-21,Second year,Woman,,South Asian,,Not sure,Transfer,,Social sciences,,Somewhat confident,15+ credits,More online,0 hours,3,4,4,2,4,5,5,2,3,4,4,4,4,5,4,3,5,2,2,3,1,0,,2,4,5,0,3.6,4.14
110,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Motivation/discipline,,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Sometimes,Rarely,Often,Rarely,Never,Moderate,<5 hours,Enjoying life,,20-21,Second year,Woman,,East Asian,,Yes,Transfer,,Social sciences,,Somewhat confident,1-5 credits,All/mostly in-person,1-9 hours,5,4,4,4,4,4,4,3,4,4,4,5,4,4,2,4,3,2,1,3,1,0,2,1,4,1,1,4.0,3.71
111,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Motivation/discipline,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,Rarely,Very often,Very often,Sometimes,Moderate,11-19 hours,Doing well in school,,18-19,Second year,Man,,Southeast Asian,,Yes,Transfer,,Business,,Somewhat confident,12-14 credits,All/mostly in-person,10-19 hours,4,4,4,5,4,4,5,3,4,5,4,5,5,5,5,5,5,3,1,4,4,2,2,3,4,4,2,4.2,4.86
112,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Mental health/emotional stress,,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Very often,Rarely,Rarely,Often,Never,Moderate,20+ hours,Family responsibilities,,26 or older,Second year,Woman,,Black/African American,,No,Transfer,,Other,Criminal Justice,Very confident,15+ credits,All/mostly online,0 hours,4,3,4,3,5,5,4,4,5,4,4,5,5,5,4,2,1,4,1,1,3,0,2,4,5,5,0,4.1,3.71
113,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Nothing holding me back,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very often,Never,Never,Very often,Never,Moderate,20+ hours,Doing well in school,,26 or older,Third year or beyond,Man,,White,,No,Transfer,,Business,,Very confident,15+ credits,All/mostly online,10-19 hours,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,0,0,4,0,2,4,5,5,2,5.0,5.0
114,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Mental health/emotional stress,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Often,Rarely,Sometimes,Often,Never,Moderate,11-19 hours,Doing well in school,,18-19,First year,Man,,Southeast Asian,,Yes,Transfer,,Business,,Somewhat confident,15+ credits,More in-person,0 hours,4,4,3,4,4,4,5,3,3,4,4,3,4,3,4,5,5,3,1,2,3,0,2,3,4,5,0,3.8,4.0
115,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Mental health/emotional stress,,Disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Very often,Sometimes,Sometimes,Sometimes,Never,Slight,5-10 hours,Mental/emotional well-being,,18-19,First year,Woman,,White,,Not sure,Associate degree,,Arts/creative fields,,Very confident,6-8 credits,All/mostly in-person,0 hours,3,2,4,3,3,2,3,2,3,2,2,1,4,4,3,3,4,4,2,2,2,0,1,2,5,2,0,2.7,3.0
116,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Motivation/discipline,,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Sometimes,Rarely,Rarely,Sometimes,Rarely,Moderate,5-10 hours,Financial stability,,22-25,First year,Man,,Latino/Hispanic,,No,Associate degree,,Undecided,,Unsure,9-11 credits,All/mostly in-person,10-19 hours,4,3,4,3,4,4,4,3,4,4,3,4,3,4,3,2,2,2,1,1,2,1,2,2,3,3,2,3.7,3.0
117,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Family/caregiving responsibilities,,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Often,Sometimes,Often,Sometimes,Never,Slight,11-19 hours,Doing well in school,,26 or older,Third year or beyond,Man,,Southeast Asian,,No,Transfer,,Health professions,,Somewhat confident,9-11 credits,More online,10-19 hours,4,4,3,4,4,4,3,4,5,5,4,4,4,4,4,2,5,3,2,3,2,0,1,3,4,3,2,4.0,3.86
118,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Nothing holding me back,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Often,Never,Sometimes,Very often,Never,Not at all,11-19 hours,Doing well in school,,18-19,First year,Man,,White,,Yes,Transfer,,Business,,Somewhat confident,15+ credits,All/mostly in-person,0 hours,4,5,5,4,5,4,5,4,5,4,4,5,5,5,5,4,5,3,0,2,4,0,0,3,4,5,0,4.5,4.71
119,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Motivation/discipline,,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Often,Sometimes,Very often,Sometimes,Never,Not at all,5-10 hours,Figuring out my future,,18-19,First year,Woman,,Latino/Hispanic,,Yes,Transfer,,Social sciences,,Unsure,15+ credits,About equal,0 hours,4,4,4,3,5,3,5,5,5,4,4,5,5,4,4,4,5,3,2,4,2,0,0,2,3,5,0,4.2,4.43
120,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Work responsibilities,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Very often,Sometimes,Never,Often,Rarely,Not at all,,Other,DOING WELL IN SCHOOL AND FINANCIAL STABILITY,26 or older,First year,Woman,,Latino/Hispanic,,No,Transfer,,Other,DEAF STUDIES,Very confident,15+ credits,All/mostly online,30+ hours,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,3,5,4,2,0,3,1,0,,5,5,4,4.9,4.57
121,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Agree,Mental health/emotional stress,,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Rarely,Often,Very often,Rarely,Never,Prefer not to say,5-10 hours,Doing well in school,,18-19,Second year,Woman,,Multiracial,,Yes,Transfer,,Social sciences,,Very confident,12-14 credits,About equal,0 hours,4,4,3,3,5,5,2,2,3,4,5,3,2,3,5,3,2,1,3,4,1,0,,2,5,4,0,3.5,3.29
122,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Teaching style/quality,,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Very often,Never,Sometimes,Often,Never,Slight,5-10 hours,Figuring out my future,,18-19,First year,Woman,,Latino/Hispanic,,No,Associate degree,,Business,,Very confident,12-14 credits,About equal,1-9 hours,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,4,5,4,0,2,3,0,1,2,5,4,1,4.1,4.57
123,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Mental health/emotional stress,,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Very often,Often,Very often,Very often,Never,Not at all,11-19 hours,Doing well in school,,20-21,Third year or beyond,Woman,,Latino/Hispanic,,No,Transfer,,Health professions,,Very confident,15+ credits,More online,20-29 hours,5,4,3,4,4,5,5,5,5,2,2,1,3,4,4,1,3,4,3,4,4,0,0,3,5,5,3,4.2,2.57
124,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Mental health/emotional stress,,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Often,Rarely,Sometimes,Often,Never,Very,20+ hours,Figuring out my future,,18-19,First year,Woman,,South Asian,,No,Associate degree,,Health professions,,Somewhat confident,15+ credits,About equal,10-19 hours,3,4,3,4,3,5,4,4,4,4,3,2,4,4,3,2,5,3,1,2,3,0,3,4,4,5,2,3.8,3.29
125,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Family/caregiving responsibilities,,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Very often,Never,Sometimes,Often,Never,Moderate,5-10 hours,Doing well in school,,26 or older,Third year or beyond,Man,,East Asian,,No,Transfer,,Health professions,,Somewhat confident,12-14 credits,All/mostly in-person,10-19 hours,5,4,5,5,5,4,4,5,5,4,4,4,4,4,4,5,5,4,0,2,3,0,2,2,4,4,2,4.6,4.29
126,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Not prepared for college-level work,,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Very often,Rarely,Never,Sometimes,Often,Slight,5-10 hours,Doing well in school,,18-19,First year,Man,,Latino/Hispanic,,No,Associate degree,,STEM,,Somewhat confident,12-14 credits,All/mostly in-person,0 hours,4,4,3,4,3,5,4,3,4,4,4,3,5,4,3,1,5,4,1,0,2,3,1,2,4,4,0,3.8,3.57
127,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Mental health/emotional stress,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Slight,11-19 hours,Figuring out my future,,22-25,Second year,Man,,Multiracial,,Yes,Transfer,,STEM,,Very confident,9-11 credits,More online,0 hours,3,4,4,2,2,3,4,2,3,5,5,3,3,3,4,3,2,2,2,2,1,1,1,3,5,3,0,3.2,3.29
128,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Other,Finances is #1 which affects my Mental and emotional well-being. Also mental disabilities.,Disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Sometimes,Often,Sometimes,Often,Often,Extreme,11-19 hours,Financial stability,,26 or older,Third year or beyond,Woman,,White,,No,Associate degree,,Arts/creative fields,,Very confident,12-14 credits,All/mostly in-person,1-9 hours,4,4,4,2,2,4,4,2,4,4,2,4,2,4,2,3,2,2,3,2,3,3,4,3,5,4,1,3.4,2.71
129,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Mental health/emotional stress,,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Sometimes,Sometimes,Very often,Rarely,Rarely,Extreme,5-10 hours,Figuring out my future,,22-25,Third year or beyond,Man,,Latino/Hispanic,,No,Transfer,,Arts/creative fields,,Somewhat confident,15+ credits,All/mostly online,20-29 hours,5,2,2,2,4,4,4,2,4,4,2,2,3,2,2,2,4,2,2,4,1,1,4,2,4,5,3,3.3,2.43
130,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Motivation/discipline,,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Sometimes,Rarely,Often,Rarely,Never,Slight,<5 hours,Mental/emotional well-being,,20-21,Third year or beyond,Man,,White,,Yes,Transfer,,Other,Liberal arts,Not confident at all,6-8 credits,All/mostly in-person,0 hours,2,2,4,3,4,4,4,3,4,4,3,4,4,4,4,2,4,2,1,3,1,0,1,1,1,2,0,3.4,3.57
131,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Other,"Work, tuition, AI",Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Not applicable,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Extreme,11-19 hours,Financial stability,,26 or older,Third year or beyond,Woman,,White,,Not sure,Transfer,,Arts/creative fields,,Not very confident,12-14 credits,More in-person,10-19 hours,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,3,,2,2,2,2,1,4,3,2,4,2,3.6,3.83
132,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Not prepared for college-level work,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Often,Never,Never,Often,Never,Moderate,20+ hours,Doing well in school,,18-19,First year,Man,,Latino/Hispanic,,No,Transfer,,Social sciences,,Unsure,12-14 credits,More in-person,0 hours,5,4,5,5,5,5,4,5,4,3,4,5,5,5,5,5,1,3,0,0,3,0,2,4,3,4,0,4.5,4.29
133,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Physical health/low energy,,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,Rarely,Sometimes,Never,Prefer not to say,5-10 hours,Doing well in school,,20-21,Third year or beyond,Woman,,Prefer not to say,,Prefer not to say,Transfer,,Arts/creative fields,,Somewhat confident,6-8 credits,More in-person,1-9 hours,3,3,4,3,3,4,3,3,3,3,3,4,4,3,4,3,3,2,2,1,2,0,,2,4,2,1,3.2,3.43
134,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Family/caregiving responsibilities,,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Very often,Sometimes,Often,Rarely,Never,Very,11-19 hours,Financial stability,,18-19,First year,Woman,,Latino/Hispanic,,Not sure,Associate degree,,Humanities,,Very confident,12-14 credits,More online,0 hours,5,4,4,4,5,5,5,4,4,4,4,3,5,5,4,3,4,4,2,3,1,0,3,3,5,4,0,4.4,4.0
135,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not prepared for college-level work,,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Sometimes,Never,Slight,<5 hours,Financial stability,,26 or older,Prefer not to say,Woman,,Latino/Hispanic,,No,Associate degree,,Social sciences,,Somewhat confident,12-14 credits,About equal,20-29 hours,2,2,3,2,3,4,3,3,3,3,2,3,3,3,2,2,3,2,2,2,2,0,1,1,4,4,3,2.8,2.57
136,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Not prepared for college-level work,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Sometimes,Often,Sometimes,Rarely,Never,Very,5-10 hours,Doing well in school,,18-19,Prefer not to say,Prefer not to say,,Prefer not to say,,Yes,Transfer,,Humanities,,Somewhat confident,12-14 credits,More in-person,0 hours,3,3,4,2,3,4,3,2,4,3,3,3,4,4,5,3,5,2,3,2,1,0,3,2,4,4,0,3.1,3.86
137,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Family/caregiving responsibilities,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Not applicable,Often,Sometimes,Sometimes,Often,Never,Not at all,5-10 hours,Enjoying life,,26 or older,Prefer not to say,Woman,,East Asian,,Yes,Associate degree,,Arts/creative fields,,Unsure,9-11 credits,All/mostly in-person,0 hours,4,4,4,5,4,5,3,4,3,4,3,3,4,3,4,4,,3,2,2,3,0,0,2,3,3,0,4.0,3.5
138,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Family/caregiving responsibilities,,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Often,Sometimes,Rarely,Rarely,Sometimes,Moderate,5-10 hours,Figuring out my future,,22-25,Third year or beyond,Man,,Pacific Islander,,No,Undecided,,Arts/creative fields,,Unsure,15+ credits,About equal,30+ hours,4,5,1,4,5,5,4,1,3,4,1,2,3,2,4,2,4,3,2,1,1,2,2,2,3,5,4,3.6,2.57
